IMF Z log(age) U B1 B2 V R u g r i z
CHA 0.0004 5.48 0.16928559143032507 1.2096086495257632 1.1959387219187634 1.456584726720935 1.5926264630917815 1.27622671601628 1.6654816859163026 2.117794996526404 2.533533332637132 2.82136643214803
CHA 0.0004 5.7 0.15131574580030005 1.1922334511207557 1.178553424000857 1.4393986352850798 1.5755592181411546 1.2581767597765583 1.6482040778197038 2.1006765009793873 2.516579960047762 2.804609980498943
CHA 0.0004 5.85 0.13979280583327647 1.1807434362479752 1.1670620065282513 1.4279078053768557 1.5640622890297098 1.2466781832002858 1.6367190610255 2.089174191797452 2.5051015418144877 2.793175216946833
CHA 0.0004 6.0 0.0928513299800775 1.1346757325253938 1.1209712825007876 1.3821590882532893 1.5185535170582503 1.1997112881489662 1.5908455272392934 2.043500890977666 2.4599546869494 2.7484902468476355
CHA 0.0004 6.1 0.041591831652638245 1.0855489752621503 1.0718049529100546 1.3338423173161766 1.4708015486910622 1.1481437438053255 1.5421226648184194 1.9955050987408618 2.412728687898569 2.7020084560332953
CHA 0.0004 6.18 0.01205716424108072 1.0567880574110884 1.0430285264483454 1.3053071634398588 1.4423639944488118 1.118536682502961 1.5134979244204536 1.9670105404164722 2.384428047288393 2.67391709175588
CHA 0.0004 6.24 -0.03169540434772955 1.0130027392519052 0.9992413689383834 1.261241447852732 1.3980922147170411 1.0749484303314083 1.4696434097006992 1.9227327940768197 2.3402125113119587 2.6297746698382674
CHA 0.0004 6.3 -0.0935416993063991 0.9529911859364937 0.9392040041447336 1.2014020081354093 1.3380951336456004 1.0128837483743758 1.409811636385283 1.8627560409176858 2.2802269502444665 2.5700956194653464
CHA 0.0004 6.35 -0.15601219150946521 0.8912435950540671 0.8774304785182911 1.1401444343426799 1.277172286476938 0.9504729584819295 1.3483013501563454 1.8016528439146078 2.2197512679423475 2.5101312902852704
CHA 0.0004 6.4 -0.2745185035324149 0.7732373160596566 0.7594317547611582 1.0210445535060528 1.1569528376656726 0.8322160410108147 1.2299642405116606 1.6817191057686052 2.09908191618482 2.3892264648056716
CHA 0.0004 6.44 -0.4438862599103368 0.5990553795141316 0.5853886257876173 0.8416548424871766 0.9735599666691885 0.6644895882280203 1.0536582168283153 1.4995327225594486 1.91354535863749 2.2008980776797293
CHA 0.0004 6.48 -0.6720932656355414 0.34469152614478293 0.33158553475274744 0.5687761544011631 0.6871555492438604 0.4442160188711647 0.7915134109893792 1.2176415087010617 1.6183853629735316 1.890184279239191
CHA 0.0004 6.51 -0.8107041510523034 0.2013313126773113 0.18844078852861124 0.421729956177499 0.5354750694282324 0.3071719245062049 0.6457484978049145 1.0672480329800158 1.4646079439152948 1.7315654254993524
CHA 0.0004 6.54 -0.8478786014161437 0.14374669972644893 0.1311319928534762 0.352144261382894 0.4586240777622064 0.2758268113571042 0.5839449900501897 0.9932390743325762 1.381717991789626 1.6391589933150974
CHA 0.0004 6.57 -0.9328327950989239 0.04012866328681319 0.027873906512764446 0.23747462636926686 0.3360664226096004 0.19650374959918582 0.4755729193556256 0.873390446730722 1.2539133719531583 1.502637583293319
CHA 0.0004 6.6 -0.9292289583493023 0.023588940657097268 0.011747949261795121 0.20861233551362535 0.2984251209889006 0.20596174470800366 0.4536637349377891 0.8388070929060213 1.210333999961255 1.4489619217656844
CHA 0.0004 6.63 -0.6779887657971164 0.29563720144901184 0.28331757335493224 0.4965887371371571 0.5987582616728253 0.45032021718765025 0.7323206592069745 1.134954569323424 1.5187131273178571 1.7710655111838114
CHA 0.0004 6.65 -0.6593140869296099 0.31502932188597255 0.30269515216120624 0.516608275319133 0.6196590019818187 0.46874644360315687 0.7519178894235573 1.155508936534131 1.540333637351606 1.793961542863348
CHA 0.0004 6.68 -0.6364564899758811 0.3355333572280963 0.3232216242155377 0.5368076333717346 0.6401859032739892 0.49226516486450367 0.7721887705622571 1.1759160442030754 1.5611082994586645 1.8152079758365836
CHA 0.0004 6.7 -0.6033558575974944 0.36480436607749755 0.35251917398512855 0.5655865179225028 0.6687540863160639 0.526540961909992 0.8011908178509352 1.2046068860167316 1.589394024819105 1.8429919092655473
CHA 0.0004 6.72 -0.5526010051910868 0.40769084819930956 0.3955107188022824 0.6058621950127772 0.7071326086392267 0.5794475582272846 0.8428823942712264 1.2437043840092676 1.6263139964677769 1.8774572194674142
